ID;Kreise;Flaeche
3452;Aurich, Landkreis;1287.36
3453;Cloppenburg, Landkreis;1420.42
3454;Emsland, Landkreis;2883.67
3455;Friesland, Landkreis;609.53
3456;Grafschaft Bentheim, Landkreis;981.79
3457;Leer, Landkreis;1085.72
3458;Oldenburg, Landkreis;1064.84
3459;Osnabrück, Landkreis;2121.81
3460;Vechta, Landkreis;814.20
3461;Wesermarsch, Landkreis;824.78
3462;Wittmund, Landkreis;656.86
4011;Bremen, kreisfreie Stadt;326.18
4012;Bremerhaven, kreisfreie Stadt;93.66
5111;Düsseldorf, kreisfreie Stadt;217.41
5112;Duisburg, kreisfreie Stadt;232.80
5113;Essen, kreisfreie Stadt;210.34
5114;Krefeld, kreisfreie Stadt;137.77
5116;Mönchengladbach, kreisfreie Stadt;170.47
5117;Mülheim an der Ruhr, kreisfreie Stadt;91.28
5119;Oberhausen, kreisfreie Stadt;77.09
5120;Remscheid, kreisfreie Stadt;74.52
5122;Solingen, kreisfreie Stadt;89.54
5124;Wuppertal, kreisfreie Stadt;168.39
5154;Kleve, Landkreis;1232.99
5158;Mettmann, Landkreis;407.22
5162;Rhein-Kreis Neuss;576.42
5166;Viersen, Landkreis;563.28
5170;Wesel, Landkreis;1042.80
5314;Bonn, kreisfreie Stadt;141.06
5315;Köln, kreisfreie Stadt;405.02
5316;Leverkusen, kreisfreie Stadt;78.87
5334;Städteregion Aachen, Landkreis;706.83
5358;Düren, Landkreis;941.77
5362;Rhein-Erft-Kreis;704.71
5366;Euskirchen, Landkreis;1248.73
5370;Heinsberg, Landkreis;627.99
5374;Oberbergischer Kreis;918.85
5378;Rheinisch-Bergischer Kreis;437.32
5382;Rhein-Sieg-Kreis;1153.21
5512;Bottrop, kreisfreie Stadt;100.61
5513;Gelsenkirchen, kreisfreie Stadt;104.94
5515;Münster, kreisfreie Stadt;303.28
5554;Borken, Landkreis;1420.98
5558;Coesfeld, Landkreis;1112.05
5562;Recklinghausen, Landkreis;761.31
5566;Steinfurt, Landkreis;1795.76
5570;Warendorf, Landkreis;1319.42
5711;Bielefeld, kreisfreie Stadt;258.82
5754;Gütersloh, Landkreis;969.21
5758;Herford, Landkreis;450.41
5762;Höxter, Landkreis;1201.42
5766;Lippe, Landkreis;1246.22
5770;Minden-Lübbecke, Landkreis;1152.41
5774;Paderborn, Landkreis;1246.80
5911;Bochum, kreisfreie Stadt;145.66
5913;Dortmund, kreisfreie Stadt;280.71
5914;Hagen, kreisfreie Stadt;160.45
