GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;03103;Wolfsburg, kreisfreie Stadt;2040;1910;2324;2661;1671;1141;3391;4588;4773;4415;3782;3934;4767;4627;3763;5495;6538;1942;1755;2115;2493;1565;1033;2904;4010;4252;4093;3458;3934;4647;4625;3963;6260;9282
31.12.2018;03151;Gifhorn, Landkreis;2832;2660;3385;4436;2844;2123;4780;4877;5357;5369;5049;6115;8044;7912;6114;8422;7716;2673;2545;3232;4225;2785;1838;3900;4280;5208;5267;5025;6123;8006;7605;6047;8695;10431
31.12.2018;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;03153;Goslar, Landkreis;1495;1493;1948;2767;1864;1577;4484;4376;3606;3469;3349;4568;5963;5655;4864;8058;8298;1480;1393;1857;2560;1736;1251;3342;3363;3248;3400;3418;4621;5833;5605;5010;8863;12200
31.12.2018;03154;Helmstedt, Landkreis;1264;1219;1501;2078;1315;989;2333;2480;2677;2706;2568;3152;4095;4002;3410;4892;4560;1221;1195;1466;1955;1167;837;1985;2203;2561;2709;2464;3022;4065;3983;3334;5145;6754
31.12.2018;03155;Northeim, Landkreis;1643;1663;2150;2900;1950;1491;3516;3537;3479;3379;3444;4452;5756;5958;5094;7697;7336;1535;1606;2046;2759;1753;1358;3080;3165;3169;3512;3433;4528;5861;6012;4861;7853;10789
31.12.2018;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;03157;Peine, Landkreis;2010;1927;2537;3390;2238;1663;3621;3358;3773;3862;3867;4932;6287;5586;4507;6401;6327;1927;1935;2447;3165;2009;1474;3026;3188;3676;4000;3943;4971;5999;5506;4501;6938;8974
31.12.2018;03158;Wolfenbüttel, Landkreis;1538;1517;2007;2726;1881;1418;3406;3263;3248;3166;3212;4207;5733;5100;4190;6444;6314;1481;1436;1936;2525;1746;1187;2912;2839;2991;3276;3361;4407;5533;5099;4238;6932;8691
31.12.2018;03159;Göttingen, Landkreis;4369;4177;5414;7146;4556;3957;11939;11792;10474;9026;8380;10310;12881;12878;10919;16806;16163;4128;3849;5096;6682;4324;3573;11506;11126;9837;9149;8727;10543;13156;13077;11256;17922;22936
31.12.2018;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;03241;Region Hannover, Landkreis;17414;16756;21068;26510;16290;12415;36554;40266;39020;36961;34408;38696;47662;43092;34661;51565;53863;16618;15663;19982;25138;15314;11446;33943;38130;37935;37491;34827;38753;47001;43268;36408;59173;79333
31.12.2018;03251;Diepholz, Landkreis;3055;2948;4001;5277;3521;2551;5899;5967;6096;5945;5921;7875;10047;9373;7448;11171;10758;2886;2769;3716;4970;3200;2225;5094;5413;5792;6183;6061;7819;10068;8957;7328;11802;14750
