GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;05117;Mülheim an der Ruhr, kreisfreie Stadt;2559;2422;3094;3662;2405;1658;4749;5324;5051;4877;4513;5632;7141;6712;5516;8321;8751;2404;2162;2938;3617;2129;1523;4109;4892;5036;4994;4858;5859;7355;6909;6017;10065;13626
31.12.2018;05119;Oberhausen, kreisfreie Stadt;3097;2900;3698;4601;2878;2202;6162;6990;6825;6504;6170;7210;8846;8443;7274;10428;9384;2912;2726;3518;4487;2741;1988;5341;6407;6535;6556;5904;6852;8720;8528;7792;11678;14532
31.12.2018;05120;Remscheid, kreisfreie Stadt;1660;1561;2000;2599;1688;1205;3151;3359;3247;3327;3163;3820;4984;4615;3731;5219;5335;1604;1526;1872;2567;1590;1109;2847;3136;3116;3160;3138;3793;4679;4436;3704;5990;8063
31.12.2018;05122;Solingen, kreisfreie Stadt;2387;2279;2908;3899;2405;1708;4670;4801;4745;4556;4444;5342;7045;6561;5145;7065;7511;2176;2123;2752;3639;2327;1644;4155;4670;4899;4924;4571;5558;7160;6625;5297;7982;11387
31.12.2018;05124;Wuppertal, kreisfreie Stadt;5563;5301;6600;8550;5167;3924;11125;12449;12046;11209;9956;11554;14657;13612;10723;15608;15643;5271;4939;6420;8093;4908;3681;10728;11792;11200;10705;9884;11558;14350;13372;11325;18193;24276
31.12.2018;05154;Kleve, Landkreis;4395;4318;5708;7433;4877;3490;9724;9899;9667;9247;8635;10670;14031;13093;10841;15551;13049;4196;4018;5273;7057;4565;3122;8416;9036;9078;8715;8525;10905;14046;12874;10846;16530;19144
31.12.2018;05158;Mettmann, Landkreis;7005;6863;8824;11333;7394;5003;12440;12392;13052;13613;13114;16350;21420;19892;15967;23646;26397;6683;6500;8424;10989;6769;4519;11005;12016;13651;14363;14042;17011;21863;20616;16922;28223;37383
31.12.2018;05162;Rhein-Kreis Neuss;6795;6770;8579;10968;7025;4704;11597;11957;12610;13412;13161;15777;19818;18087;14911;21305;21738;6480;6187;8167;10337;6382;4339;10301;11408;12899;14343;14292;16195;20336;18618;15661;25000;30848
31.12.2018;05166;Viersen, Landkreis;4132;3976;5154;6895;4566;3263;8116;8162;8122;8405;7982;10279;14162;13206;10513;14865;14115;3780;3766;5008;6614;4545;3009;7231;7581;7942;8622;8443;10779;14550;13324;10724;16588;20516
31.12.2018;05170;Wesel, Landkreis;6276;6028;7801;10488;6673;4781;11973;13121;13004;12887;12079;15258;20004;19906;16950;24330;22578;5871;5741;7432;9696;6434;4249;10365;11984;12967;13128;12611;15944;20888;20577;17718;27148;32919
31.12.2018;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;05314;Bonn, kreisfreie Stadt;5290;4979;6476;7975;4623;3833;11832;12954;11825;10944;9336;10258;12220;10812;8589;11978;12404;4841;4732;6031;7396;4441;3813;13143;13697;12440;11491;10231;10759;12513;11462;9389;14847;19704
31.12.2018;05315;Köln, kreisfreie Stadt;17501;15826;19393;23607;13829;10406;34197;45171;45018;40261;36396;38546;43397;36117;27683;40432;41588;16574;15024;18386;22267;12872;10196;37872;48963;46001;41539;36324;37294;41243;35868;29523;48662;57688
31.12.2018;05316;Leverkusen, kreisfreie Stadt;2464;2440;3124;4008;2578;1720;4508;4977;4993;4864;4774;5676;7141;6476;4956;6885;8203;2370;2314;2842;3726;2282;1524;4124;4944;4915;5184;4890;5666;7064;6457;5331;8481;11937
31.12.2018;05334;Städteregion Aachen, Landkreis;7683;7328;9195;12015;7949;7699;27505;25073;19149;15925;14434;17291;21873;20697;17295;25003;24048;7467;6823;8690;11470;7292;6288;19397;19479;16665;15748;14738;17600;21817;20407;17887;28324;35211
31.12.2018;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;05358;Düren, Landkreis;3917;3599;4830;6356;4095;3071;8377;8333;7989;7674;7263;8875;11290;11066;9118;13302;11606;3681;3500;4429;5841;3769;2748;6886;7379;7468;7606;7283;8962;11480;11087;9715;14469;16658
31.12.2018;05362;Rhein-Erft-Kreis;7222;7120;8862;11257;7154;5253;13186;13383;13605;14130;13936;16160;20684;18772;15208;22555;21575;6812;6496;8462;10642;6712;4698;11843;12538;13599;14713;14649;16634;21002;19242;15843;26252;29890
31.12.2018;05366;Euskirchen, Landkreis;2680;2658;3476;4617;3110;2120;5341;5376;5526;5373;5324;6407;8697;8580;6981;10074;8784;2730;2559;3283;4426;2861;2038;4652;4883;5340;5484;5454;6683;8790;8653;7065;10555;12260
31.12.2018;05370;Heinsberg, Landkreis;3636;3519;4621;6143;4178;3098;7239;7598;7431;7413;7103;8512;11444;11142;9047;12724;11001;3526;3309;4405;5748;3725;2614;6301;6695;7357;7500;7368;9018;11377;11044;9197;13347;15942
31.12.2018;05374;Oberbergischer Kreis;4110;3910;5162;6596;4531;3295;8211;8040;7943;7796;7391;8888;11771;11576;9444;12692;12713;3940;3706;4971;6537;4213;2967;6793;7026;7484;7905;7698;9224;12077;11639;9660;13926;18636
31.12.2018;05378;Rheinisch-Bergischer Kreis;3907;4022;5304;6942;4548;3201;7365;6825;7093;7634;7724;9666;12870;12121;9615;13540;15195;3697;3773;4873;6429;4197;2859;6394;6538;7596;8127;8234;10275;13656;12394;9971;15758;21112
31.12.2018;05382;Rhein-Sieg-Kreis;9004;9019;11873;15275;9746;6977;16972;16875;16923;17334;16485;20012;26450;24573;19671;28654;28250;8285;8250;10941;14184;8914;6308;14910;15644;16419;18295;17654;21335;26959;25469;21032;32304;38784
31.12.2018;05512;Bottrop, kreisfreie Stadt;1623;1528;2001;2558;1734;1302;3277;3518;3528;3481;3367;3997;5014;4798;4295;5931;5149;1527;1423;1838;2470;1648;1112;2902;3299;3380;3522;3298;4067;5113;5017;4522;6834;8310
31.12.2018;05513;Gelsenkirchen, kreisfreie Stadt;4256;3958;5121;6540;4086;3002;8128;9062;8677;7846;7825;9093;10540;10017;8664;12192;10771;4014;3683;4689;5869;3668;2688;7104;8188;7739;7673;7408;8636;9908;9862;8985;13478;17284
31.12.2018;05515;Münster, kreisfreie Stadt;4655;4239;5181;6390;3845;3597;13707;15305;12829;10483;8858;9367;11138;10068;8371;11378;11425;4336;3906;4904;5889;3687;4027;17685;16038;12467;10225;8745;9485;11500;10807;8837;13002;17943
31.12.2018;05554;Borken, Landkreis;5848;5524;7240;9829;6518;4649;11847;11870;11275;11010;10585;13055;17172;15485;12018;16493;14777;5540;5383;7075;9269;6040;4147;9831;10778;10727;10762;10617;12838;16434;15068;12052;17368;21552
31.12.2018;05558;Coesfeld, Landkreis;3269;3238;4035;5413;3801;2735;6572;6063;6103;6276;6178;7526;10027;9408;7753;10886;9281;3189;2985;3773;5150;3466;2478;5442;5201;5978;6269;6241;7717;10260;9646;8152;11438;13980
31.12.2018;05562;Recklinghausen, Landkreis;8720;8384;10827;13985;9246;6738;16893;17540;17310;17293;17296;21152;26549;25458;22111;31955;28562;8284;7725;10073;13191;8577;6070;14882;16451;16972;17528;17743;21600;26548;26181;23726;35907;43784
31.12.2018;05566;Steinfurt, Landkreis;6975;6662;8769;11632;7830;5694;14223;13572;13135;13157;12763;15608;20360;18488;14698;20346;18721;6624;6208;8143;10926;7330;5127;11820;11851;12491;12821;12627;16050;20217;18445;14809;21563;27929
31.12.2018;05570;Warendorf, Landkreis;4086;4071;5312;7162;4757;3516;8166;7819;8105;7949;7883;9690;12430;11406;9290;13212;12444;3842;3800;4957;6767;4567;3170;6872;6897;7537;7984;8097;9880;12047;11528;9622;14430;18488
31.12.2018;05711;Bielefeld, kreisfreie Stadt;5106;4865;6203;8118;5071;3864;10988;12342;11764;10266;9580;11001;12863;11506;9394;13541;14606;5036;4565;5973;7655;4701;3788;11937;12615;11813;10704;9886;10996;12471;12019;10317;15792;22440
31.12.2018;05754;Gütersloh, Landkreis;5593;5471;6968;9518;6186;4555;11482;11524;11641;11171;10894;12951;16200;14854;11567;15621;15648;5361;5105;6772;8778;5691;4059;9647;9985;10457;10693;10964;12912;15825;14527;11699;16966;22798
31.12.2018;05758;Herford, Landkreis;3626;3559;4710;6078;3975;2947;7042;7206;7264;7188;7109;8533;10896;10449;8428;11836;12113;3409;3350;4349;5822;3740;2611;6198;6600;6984;7297;7277;8683;10835;10562;8625;13018;18464
31.12.2018;05762;Höxter, Landkreis;1909;1820;2549;3466;2337;1700;4322;4061;3941;3781;3785;4589;6332;6129;5220;7241;6877;1803;1771;2329;3310;2220;1471;3404;3418;3556;3706;3714;4816;6140;6071;5160;7577;10142
31.12.2018;05766;Lippe, Landkreis;5258;5244;6823;9017;5689;4091;10259;10330;10145;9655;8998;11360;14293;14063;11732;16780;17228;5098;4787;6446;8458;5430;3743;9082;9168;9376;9657;9364;11512;14635;14307;12123;18619;25621
31.12.2018;05770;Minden-Lübbecke, Landkreis;4681;4478;5839;7950;5113;3674;9075;9387;9266;8626;8398;10389;13195;12833;10590;14805;15006;4267;4229;5586;7385;4810;3300;7926;8173;8349;8546;8476;10626;13154;13163;10925;16145;22345
31.12.2018;05774;Paderborn, Landkreis;4821;4689;5914;7599;4998;3858;11312;11859;11217;9889;8840;10109;12360;11782;10032;12878;11465;4495;4466;5687;7185;4539;3454;9963;10333;9971;9359;8896;10135;11894;11865;10116;13849;17061
31.12.2018;05911;Bochum, kreisfreie Stadt;5036;4596;5895;7421;4743;3782;12489;14488;13207;11396;9928;11539;14161;13429;11864;17230;16495;4731;4401;5376;6878;4301;3548;11998;13481;12190;11120;9965;11482;14093;13909;12678;20250;26528
31.12.2018;05913;Dortmund, kreisfreie Stadt;8914;8239;10153;13090;8289;6434;19971;22849;20813;18869;17001;19905;23416;21267;17822;26167;25187;8626;8063;9907;12513;7733;5555;18209;20936;19623;18690;17303;19444;22793;21512;18862;30221;38634
31.12.2018;05914;Hagen, kreisfreie Stadt;2947;2814;3544;4553;3011;2101;5399;6072;5825;5595;5112;6165;7789;7461;6121;8759;8900;2771;2615;3337;4280;2832;1959;5148;5570;5400;5314;5232;6300;7743;7404;6415;10296;14030
31.12.2018;05915;Hamm, kreisfreie Stadt;2584;2610;3374;4520;2942;2201;5784;5853;5539;5459;5547;6184;7107;6641;5589;8304;7786;2592;2536;3185;4193;2770;2017;5271;5229;5226;5374;5460;6075;7064;6607;6238;9504;11746
31.12.2018;05916;Herne, kreisfreie Stadt;2228;2208;2664;3512;2372;1798;4815;5228;4835;4688;4708;5690;6458;6188;5004;7379;6874;2153;2000;2622;3197;2282;1667;4442;4813;4481;4498;4492;5533;6134;6067;5444;8713;11187
31.12.2018;05954;Ennepe-Ruhr-Kreis;4526;4277;5366;6993;4487;3422;8795;9450;9149;9192;8418;10872;14523;13615;11358;16648;16399;4203;4039;5102;6600;4243;2947;8048;8921;8964;9135;8907;11136;14916;13819;12131;19125;24570
31.12.2018;05958;Hochsauerlandkreis;3491;3333;4522;6376;4348;3104;7895;8071;7676;7213;6968;9278;11785;11283;9374;12838;12392;3443;3218;4214;5988;3999;2667;6155;6789;7012;7147;7205;8958;11414;10878;9340;13522;18579
31.12.2018;05962;Märkischer Kreis;5864;5661;7479;9999;6590;4662;11841;12391;12230;11420;11116;13735;18744;17386;14168;19773;19758;5642;5251;7019;9387;6160;4228;10073;11168;11355;11673;11450;14264;18385;17399;14583;22194;29072
31.12.2018;05966;Olpe, Landkreis;1943;1993;2522;3414;2214;1697;4069;4129;3971;4100;3897;4780;6341;5746;4638;6426;5730;1847;1776;2251;3103;2069;1490;3300;3772;3878;3930;3876;4735;5907;5634;4616;6463;8518
31.12.2018;05970;Siegen-Wittgenstein, Landkreis;4117;3842;4933;6356;4171;3071;9445;9935;8851;8264;7585;9220;11687;11157;9441;13449;12834;3887;3585;4611;5866;3806;2937;8784;8554;8111;8029;7417;8897;11174;11018;9686;14778;18712
31.12.2018;05974;Soest, Landkreis;4323;4290;5611;7549;4849;3663;9258;9182;9048;8822;8591;10508;13385;12593;10407;14298;13645;4107;3930;5201;6964;4568;3043;7316;7972;8297;8781;8508;10707;13145;12638;10592;15759;20352
31.12.2018;05978;Unna, Landkreis;5505;5338;6837;9192;5998;4418;11095;11322;11067;11363;11123;13293;16916;16280;13940;20107;18510;5269;5052;6431;8641;5519;4023;9791;10180;10780;11246;11342;13757;17509;16736;15015;22773;28414
31.12.2018;06411;Darmstadt, kreisfreie Stadt;2510;2220;2899;3459;1969;1955;8515;9295;7060;5512;4423;4990;5651;4978;4053;5879;5849;2452;2146;2736;3198;1882;1601;6194;7157;5964;5048;4539;4710;5315;5050;4310;7031;8657
31.12.2018;06412;Frankfurt am Main, kreisfreie Stadt;13279;11683;14132;16721;9320;6687;21704;31715;34718;31558;28119;28351;30120;24117;18188;27397;23862;12776;11216;13824;15919;8572;6359;22325;33987;35630;32251;27266;25738;27086;22931;19004;31153;35348
31.12.2018;06413;Offenbach am Main, kreisfreie Stadt;2332;2085;2642;3209;1897;1267;4089;5117;5246;4799;4321;4554;5032;4464;3455;4793;4397;2296;2070;2539;3073;1776;1224;4045;5266;5230;4756;4299;4219;4562;4192;3502;5645;6351
31.12.2018;06414;Wiesbaden, kreisfreie Stadt;4734;4323;5460;6839;4109;2941;8118;8812;8949;8802;8472;9292;11104;9657;7608;11663;12060;4660;4107;5127;6510;3729;2732;8445;9613;9570;10085;9356;9828;11194;10183;8379;14133;17748
31.12.2018;06431;Bergstraße, Landkreis;3729;3687;4795;6154;4018;2924;7673;7602;7983;8122;7597;9108;12082;11600;9563;13906;12775;3705;3576;4576;5668;3646;2593;6429;6907;7435;7922;7709;9603;12290;11602;9532;15376;17807
31.12.2018;06432;Darmstadt-Dieburg, Landkreis;4384;4432;5628;7041;4506;3411;8983;8873;8887;9102;8953;10361;13390;12169;9597;14817;13252;4308;4128;5386;6701;4269;3037;7379;7919;8426;9286;9019;10556;13286;12196;10078;16105;17534
31.12.2018;06433;Groß-Gerau, Landkreis;4621;4361;5411;6606;4179;3078;8546;9021;9349;9449;8930;9961;11881;10352;7979;11991;11610;4323;4073;5104;6445;3832;2693;7472;8497;8834;9157;8821;9297;11196;10020;8260;13519;15658
31.12.2018;06434;Hochtaunuskreis;3314;3569;4847;6362;3852;2625;6073;5564;5958;6570;7181;8734;10654;9183;7006;11125;12261;3119;3407;4614;5933;3512;2207;5105;5332;5963;7361;7854;9214;10881;9621;7531;12972;17060
31.12.2018;06435;Main-Kinzig-Kreis;6168;6021;7625;9929;6295;4667;11977;12421;12606;12867;12550;14735;18039;16965;13555;20757;19378;5855;5618;7239;9381;5966;4211;10231;11694;12241;12892;12838;14890;18224;16741;14316;23361;26697
31.12.2018;06436;Main-Taunus-Kreis;3646;3625;4972;6276;3764;2487;6085;6143;6787;7567;7639;8748;10652;9035;6693;10660;11553;3451;3496;4526;5923;3410;2273;5186;5985;6872;8123;7990;9025;10613;9178;7263;12551;15538
31.12.2018;06437;Odenwaldkreis;1333;1262;1640;2137;1478;1025;2706;2824;2716;2659;2652;3259;4117;4165;3561;5502;4839;1171;1173;1623;2103;1344;1037;2289;2459;2614;2625;2720;3367;4124;4186;3606;5703;6779
31.12.2018;06438;Offenbach, Landkreis;5630;5311;6922;8774;5299;3936;9909;10293;10996;11309;10994;12519;15128;13552;10695;16693;16457;5320;4952;6349;8212;4754;3474;8808;9856;10741;11811;11141;12523;14989;13620;11258;19319;22548
31.12.2018;06439;Rheingau-Taunus-Kreis;2563;2503;3331;4517;2865;2043;5327;4918;4911;5251;5247;6629;8660;7749;6267;9773;9408;2363;2363;3178;4198;2743;1864;4504;4321;4821;5625;5622;6800;8748;7875;6584;10917;12669
31.12.2018;06440;Wetteraukreis;4285;4354;5739;7340;4767;3445;8851;9034;9148;9177;9238;10885;13654;12374;10089;15068;13828;4186;4116;5426;6977;4342;3046;7572;8169;8851;9665;9457;10981;13845;12490;10229;16258;19574
31.12.2018;06531;Gießen, Landkreis;4050;3569;4607;5762;3795;3016;11213;11178;9664;8389;7197;8062;10107;10052;8236;12124;11114;3731;3428;4349;5585;3449;3119;12116;10829;8657;7792;7292;8386;10335;10136;8723;13279;15535
31.12.2018;06532;Lahn-Dill-Kreis;3609;3472;4636;6088;3871;2858;7464;7742;7498;7469;7090;8494;10993;10484;8666;12707;11949;3466;3311;4354;5605;3637;2584;6528;6957;7163;7282;7353;8771;10895;10503;8888;13992;17398
31.12.2018;06533;Limburg-Weilburg, Landkreis;2391;2304;3019;4288;2762;2021;4961;5273;5148;5098;4920;5915;7558;7363;6023;8768;7759;2269;2180;2929;3922;2667;1755;4233;4573;4807;4971;4906;5967;7618;7229;6103;9293;11090
31.12.2018;06534;Marburg-Biedenkopf, Landkreis;3288;3290;4271;5710;3600;3087;9907;9737;8190;7297;6975;7687;9682;9479;7750;11153;10311;3207;3113;4117;5360;3417;3111;10697;8931;7556;7147;6798;8048;9414;9505;7840;12034;14939
31.12.2018;06535;Vogelsbergkreis;1296;1261;1740;2355;1514;1153;2902;2941;2913;2973;2902;3596;4518;4858;4372;6130;5568;1224;1236;1698;2159;1412;1022;2286;2420;2637;2841;2920;3564;4450;4810;4153;6144;7910
31.12.2018;06611;Kassel, kreisfreie Stadt;3179;2808;3582;4325;2646;2217;7919;9616;8527;6618;5380;5986;7252;6789;5678;8481;8004;3028;2636;3186;4059;2454;2187;8104;8485;6913;6039;5648;6286;7484;7158;6109;10075;12727
31.12.2018;06631;Fulda, Landkreis;3303;3126;4042;5339;3538;2655;7187;7471;7056;6600;6265;7602;9524;8734;7421;10258;10471;3076;3052;3824;5129;3286;2386;6494;6647;6454;6298;6228;7686;9138;8874;7254;11156;15010
31.12.2018;06632;Hersfeld-Rotenburg, Landkreis;1698;1592;2151;2839;1757;1318;3417;3527;3558;3472;3339;4171;5246;5029;4349;6647;6413;1517;1516;1917;2756;1650;1125;2763;3028;3213;3187;3211;4157;4975;4992;4396;6969;8934
31.12.2018;06633;Kassel, Landkreis;3154;3166;4149;5157;3440;2533;6118;6130;6450;6359;6349;8139;10436;9917;8348;13416;12861;3029;2864;3810;5031;3282;2206;5141;5612;6226;6531;6639;8354;10503;10125;8637;14638;17883
31.12.2018;06634;Schwalm-Eder-Kreis;2283;2323;3147;4133;2696;2015;5033;5210;5323;5241;5079;6373;7992;7966;6556;9950;8861;2211;2286;2938;3802;2484;1732;4028;4474;4735;4936;5013;6352;7667;7705;6581;10260;12837
31.12.2018;06635;Waldeck-Frankenberg, Landkreis;2150;2047;2769;3725;2506;1783;4539;4664;4510;4331;4204;5190;6970;6989;5611;8339;7871;2007;1974;2586;3459;2323;1550;3628;3847;4014;4129;4356;5466;6766;6785;5769;8711;11385
31.12.2018;06636;Werra-Meißner-Kreis;1319;1227;1638;2101;1415;1112;3116;2830;2687;2599;2528;3369;4250;4404;3831;5897;5642;1138;1180;1561;2070;1321;916;2514;2443;2560;2555;2581;3463;4211;4395;3855;6253;8036
31.12.2018;07111;Koblenz, kreisfreie Stadt;1649;1495;1829;2264;1399;1203;4295;5130;4541;3828;3107;3316;4042;3878;3283;5066;5303;1563;1418;1690;2129;1264;1184;4657;4783;4079;3435;3016;3272;4132;3964;3545;5966;8299
31.12.2018;07131;Ahrweiler, Landkreis;1794;1711;2153;2718;1850;1433;3714;3633;3617;3521;3250;4022;5802;5624;4756;7050;7107;1677;1629;2075;2592;1748;1257;3149;3359;3385;3544;3405;4301;5878;5623;4702;7646;10002
31.12.2018;07132;Altenkirchen (Westerwald), Landkreis;1813;1782;2319;3044;1945;1438;3770;3915;3680;3669;3455;4399;5671;5656;4634;6599;6070;1688;1638;2206;2909;1823;1259;3183;3460;3527;3607;3432;4428;5545;5495;4621;7143;8882
31.12.2018;07133;Bad Kreuznach, Landkreis;2241;2084;2844;3665;2313;1764;4090;4519;4476;4370;4127;5197;6769;6783;5574;8569;7800;2157;2088;2654;3373;2227;1571;3747;4143;4390;4497;4480;5343;6922;6887;6009;9338;11069
31.12.2018;07134;Birkenfeld, Landkreis;1118;956;1338;1749;1195;914;2243;2431;2449;2222;2106;2496;3316;3605;3131;4519;4233;1016;968;1293;1648;1055;811;1855;2144;2069;2127;2093;2597;3378;3623;3189;4819;6014
31.12.2018;07135;Cochem-Zell, Landkreis;775;756;995;1390;933;668;1667;1832;1769;1649;1578;2031;2862;2769;2404;3549;3214;722;717;867;1298;892;607;1388;1506;1544;1559;1615;2086;2654;2749;2325;3475;4742
31.12.2018;07137;Mayen-Koblenz, Landkreis;3123;2943;3752;4907;3184;2348;5876;6388;6498;6393;5962;7134;9427;9071;7714;11061;9965;3000;2820;3603;4694;3027;2157;5230;5663;6189;6498;6066;7236;9387;9157;7864;11799;14123
31.12.2018;07138;Neuwied, Landkreis;2620;2614;3295;4413;2840;2034;5103;5346;5162;5043;4776;5937;7969;7828;6438;9370;8700;2532;2369;3190;4124;2742;1942;4529;4824;4938;5184;4998;6106;8032;7806;6683;9929;12525
31.12.2018;07140;Rhein-Hunsrück-Kreis;1431;1364;1793;2337;1597;1213;2724;2988;3014;2987;2814;3449;4444;4535;3984;5617;4915;1319;1325;1672;2189;1518;1061;2225;2578;2810;2933;2763;3504;4569;4592;3806;5755;7112
31.12.2018;07141;Rhein-Lahn-Kreis;1617;1658;2106;2735;1765;1316;3233;3449;3524;3486;3378;4155;5318;5375;4465;6819;6126;1621;1591;1961;2640;1675;1213;2777;3066;3298;3437;3397;4085;5417;5342;4572;7310;8381
31.12.2018;07143;Westerwaldkreis;2928;2743;3681;4919;3165;2266;5498;5927;6108;5994;5643;7123;9234;8872;7083;10124;8910;2681;2672;3492;4576;3064;2089;4693;5319;5818;5920;5712;7136;8925;8681;7103;10685;12813
31.12.2018;07211;Trier, kreisfreie Stadt;1556;1456;1694;2214;1402;1308;5077;5707;4774;3864;3219;3328;4070;3609;3054;4167;3945;1388;1286;1624;1921;1197;1333;5493;5455;4366;3535;2984;3250;3799;3753;3288;4852;6668
31.12.2018;07231;Bernkastel-Wittlich, Landkreis;1613;1551;1957;2540;1610;1222;2970;3264;3283;3280;3189;3955;4933;4908;4186;6235;5428;1459;1477;1820;2457;1581;1127;2590;2845;2989;3195;3152;3747;4682;4884;4224;6078;7831
31.12.2018;07232;Eifelkreis Bitburg-Prüm;1490;1437;1866;2380;1486;1094;2784;3250;3038;3039;2737;3331;4438;4355;3619;4968;4264;1424;1309;1666;2174;1391;1001;2376;2785;2877;2892;2638;3354;4239;4175;3528;4855;6301
31.12.2018;07233;Vulkaneifel, Landkreis;759;756;1006;1340;891;663;1689;1833;1709;1574;1592;1907;2660;2775;2483;3512;3278;703;744;944;1257;857;602;1386;1477;1522;1583;1589;1958;2643;2661;2379;3461;4410
31.12.2018;07235;Trier-Saarburg, Landkreis;2056;2184;2821;3637;2221;1623;3845;4076;4297;4745;4361;5246;6827;6510;5413;7374;6437;2008;2078;2766;3390;2144;1426;3330;3820;4387;4706;4558;5351;6621;6307;5422;7471;9487
31.12.2018;07311;Frankenthal (Pfalz), kreisfreie Stadt;783;725;920;1127;727;502;1338;1567;1521;1537;1405;1523;1889;1795;1525;2148;2457;764;673;841;1055;633;458;1264;1507;1572;1535;1354;1559;1895;1862;1634;2719;3747
31.12.2018;07312;Kaiserslautern, kreisfreie Stadt;1443;1289;1585;2031;1203;1137;5130;5472;3920;2960;2492;2873;3553;3668;3013;4344;4240;1422;1149;1524;1826;1240;960;3823;3836;3127;2807;2584;2961;3495;3719;3330;5254;6435
31.12.2018;07313;Landau in der Pfalz, kreisfreie Stadt;696;579;753;937;609;491;1783;1854;1628;1328;1207;1466;1813;1755;1390;1943;1846;609;518;760;960;547;584;2898;1896;1524;1273;1216;1499;1864;1792;1495;2252;2912
31.12.2018;07314;Ludwigshafen am Rhein, kreisfreie Stadt;3038;2740;3495;4274;2504;1834;5575;6378;6479;5979;5605;5884;6985;6267;4854;6883;7046;2838;2737;3214;3945;2317;1773;5094;5733;5783;5516;5107;5522;6339;6005;5020;7967;10331
31.12.2018;07315;Mainz, kreisfreie Stadt;3207;2884;3646;4445;2568;2155;8931;10816;9801;8031;6436;6681;7540;6560;5482;8100;8316;3041;2701;3255;3878;2326;2311;10648;11547;9464;7643;6379;6536;7304;6920;5952;9529;12085
31.12.2018;07316;Neustadt an der Weinstraße, kreisfreie Stadt;787;707;865;1206;738;546;1308;1701;1651;1484;1296;1651;2242;2207;1971;2706;2889;761;690;865;1095;701;511;1209;1501;1471;1435;1347;1713;2224;2341;1980;3081;4268
31.12.2018;07317;Pirmasens, kreisfreie Stadt;541;568;687;865;553;399;1210;1261;1220;1022;1055;1181;1626;1690;1563;2120;2219;502;491;653;785;525;397;1059;1135;1055;985;1013;1232;1559;1788;1495;2424;3525
31.12.2018;07318;Speyer, kreisfreie Stadt;741;674;915;1130;723;558;1341;1442;1600;1498;1407;1655;2120;2099;1693;2476;2291;646;627;848;1036;741;522;1202;1489;1431;1487;1485;1744;2212;2079;1819;2945;3702
31.12.2018;07319;Worms, kreisfreie Stadt;1336;1247;1577;2001;1194;956;2811;3043;2670;2547;2481;2807;3311;3178;2627;3832;3462;1316;1191;1430;1930;1177;853;2501;2614;2589;2488;2501;2636;3117;3243;2885;4414;5365
31.12.2018;07320;Zweibrücken, kreisfreie Stadt;460;442;538;768;503;367;1074;1244;1238;1069;946;1038;1313;1359;1158;1716;1721;429;448;578;708;458;345;871;998;1027;943;937;1031;1265;1456;1282;1932;2547
31.12.2018;07331;Alzey-Worms, Landkreis;1928;1859;2498;2999;2088;1522;3510;3673;3874;4014;3800;4468;5723;5668;4868;6817;5080;1903;1894;2203;2867;1901;1350;3030;3267;3768;3797;3813;4493;5909;5704;4945;6815;7196
31.12.2018;07332;Bad Dürkheim, Landkreis;1726;1707;2285;2947;1916;1415;3286;3322;3359;3521;3458;4466;6067;6083;4926;7465;6889;1694;1630;2100;2688;1819;1271;2782;3076;3297;3833;3656;4781;6120;6227;5147;8195;9506
